,year,region,location,adm,prim_0,sec_0
70,2018,Sudeste,Urbana,Pública,13.3,23.7
71,2018,Sudeste,Rural,Pública,16.6,23.2
72,2018,Sul,Total,Total,14.9,26.3
73,2018,Sul,Urbana,Total,14.7,26.3
74,2018,Sul,Rural,Total,16.8,24.7
75,2018,Sul,Total,Federal,13.1,15.9
76,2018,Sul,Urbana,Federal,13.1,16.1
77,2018,Sul,Rural,Federal,--,14.6
78,2018,Sul,Total,Estadual,21.2,29.5
79,2018,Sul,Urbana,Estadual,21.2,29.6
80,2018,Sul,Rural,Estadual,21.7,26.4
81,2018,Sul,Total,Municipal,13.3,43.9
82,2018,Sul,Urbana,Municipal,13.2,44.7
83,2018,Sul,Rural,Municipal,14.4,37.4
84,2018,Sul,Total,Privada,2.8,5.1
85,2018,Sul,Urbana,Privada,2.8,5
86,2018,Sul,Rural,Privada,6.8,12.8
87,2018,Sul,Total,Pública,16.7,29.1
88,2018,Sul,Urbana,Pública,16.7,29.3
89,2018,Sul,Rural,Pública,16.8,25.2
90,2018,Centro-Oeste,Total,Total,14,24.9
91,2018,Centro-Oeste,Urbana,Total,13.4,24.5
92,2018,Centro-Oeste,Rural,Total,20.2,32.5
93,2018,Centro-Oeste,Total,Federal,10.7,12.7
94,2018,Centro-Oeste,Urbana,Federal,10.7,12.4
95,2018,Centro-Oeste,Rural,Federal,--,13.8
96,2018,Centro-Oeste,Total,Estadual,19,28.4
97,2018,Centro-Oeste,Urbana,Estadual,19,28
98,2018,Centro-Oeste,Rural,Estadual,19.1,36.9
99,2018,Centro-Oeste,Total,Municipal,13.4,20.5
100,2018,Centro-Oeste,Urbana,Municipal,12.4,18.7
101,2018,Centro-Oeste,Rural,Municipal,20.9,24.5
102,2018,Centro-Oeste,Total,Privada,3.5,6.7
103,2018,Centro-Oeste,Urbana,Privada,3.4,6.4
104,2018,Centro-Oeste,Rural,Privada,15.3,19.3
105,2018,Centro-Oeste,Total,Pública,16.1,27.8
106,2018,Centro-Oeste,Urbana,Pública,15.7,27.5
107,2018,Centro-Oeste,Rural,Pública,20.3,33.2
108,2018,Rondônia,Total,Total,17.8,30.3
109,2018,Rondônia,Urbana,Total,16.7,30
110,2018,Rondônia,Rural,Total,22.7,32.8
111,2018,Rondônia,Total,Federal,--,12.7
112,2018,Rondônia,Urbana,Federal,--,13.1
113,2018,Rondônia,Rural,Federal,--,11.5
114,2018,Rondônia,Total,Estadual,25.4,33.2
115,2018,Rondônia,Urbana,Estadual,24.4,32.6
116,2018,Rondônia,Rural,Estadual,36.7,42.6
117,2018,Rondônia,Total,Municipal,14,--
118,2018,Rondônia,Urbana,Municipal,11.3,--
119,2018,Rondônia,Rural,Municipal,20.1,--
120,2018,Rondônia,Total,Privada,3.8,10.9
121,2018,Rondônia,Urbana,Privada,3.1,8
122,2018,Rondônia,Rural,Privada,12.2,23.9
123,2018,Rondônia,Total,Pública,19.3,31.6
124,2018,Rondônia,Urbana,Pública,18.3,31.4
125,2018,Rondônia,Rural,Pública,23.1,34.3
126,2018,Acre,Total,Total,24.6,30.8
127,2018,Acre,Urbana,Total,16.4,25.2
128,2018,Acre,Rural,Total,40.9,53.6
129,2018,Acre,Total,Federal,13.7,12.8
130,2018,Acre,Urbana,Federal,13.7,12.8
131,2018,Acre,Total,Estadual,24.3,32.6
132,2018,Acre,Urbana,Estadual,16.7,26.9
133,2018,Acre,Rural,Estadual,44,53.6
134,2018,Acre,Total,Municipal,27.6,--
135,2018,Acre,Urbana,Municipal,18.9,--
136,2018,Acre,Rural,Municipal,37.9,--
137,2018,Acre,Total,Privada,2.3,5.3
138,2018,Acre,Urbana,Privada,2.3,5.3
139,2018,Acre,Total,Pública,25.6,31.8
140,2018,Acre,Urbana,Pública,17.4,26.3
141,2018,Acre,Rural,Pública,40.9,53.6
142,2018,Amazonas,Total,Total,22.7,42.1
143,2018,Amazonas,Urbana,Total,18.4,38
144,2018,Amazonas,Rural,Total,35.5,63.1
145,2018,Amazonas,Total,Federal,7.9,19.9
146,2018,Amazonas,Urbana,Federal,7.9,19.9
147,2018,Amazonas,Rural,Federal,--,20.4
148,2018,Amazonas,Total,Estadual,18.3,44.1
149,2018,Amazonas,Urbana,Estadual,17.3,40
150,2018,Amazonas,Rural,Estadual,33.4,63.7
151,2018,Amazonas,Total,Municipal,27,--
152,2018,Amazonas,Urbana,Municipal,21.7,--
153,2018,Amazonas,Rural,Municipal,35.8,--
154,2018,Amazonas,Total,Privada,5.5,7.8
155,2018,Amazonas,Urbana,Privada,5.5,7.7
156,2018,Amazonas,Rural,Privada,14.7,11.2
157,2018,Amazonas,Total,Pública,24,43.3
158,2018,Amazonas,Urbana,Pública,19.8,39.4
159,2018,Amazonas,Rural,Pública,35.6,63.3
160,2018,Roraima,Total,Total,19.5,27.6
161,2018,Roraima,Urbana,Total,16.6,25
162,2018,Roraima,Rural,Total,27.4,38.6
163,2018,Roraima,Total,Federal,4.3,19.6
164,2018,Roraima,Urbana,Federal,4.3,19.8
165,2018,Roraima,Rural,Federal,--,18.5
166,2018,Roraima,Total,Estadual,26.3,29.5
167,2018,Roraima,Urbana,Estadual,23.7,27
168,2018,Roraima,Rural,Estadual,30.8,39.4
169,2018,Roraima,Total,Municipal,15.4,--
170,2018,Roraima,Urbana,Municipal,13.7,--
171,2018,Roraima,Rural,Municipal,21.4,--
172,2018,Roraima,Total,Privada,2.9,6.5
173,2018,Roraima,Urbana,Privada,2.9,5.7
174,2018,Roraima,Rural,Privada,--,50
175,2018,Roraima,Total,Pública,21.1,28.8
176,2018,Roraima,Urbana,Pública,18.4,26.5
177,2018,Roraima,Rural,Pública,27.4,38.5
178,2018,Pará,Total,Total,29.5,48
179,2018,Pará,Urbana,Total,25.6,47.6
180,2018,Pará,Rural,Total,37.1,55.1
181,2018,Pará,Total,Federal,10,27.7
182,2018,Pará,Urbana,Federal,10,24.6
183,2018,Pará,Rural,Federal,--,84.8
184,2018,Pará,Total,Estadual,37.1,52
185,2018,Pará,Urbana,Estadual,36.6,51.8
186,2018,Pará,Rural,Estadual,43.5,54.9
187,2018,Pará,Total,Municipal,31,31.5
188,2018,Pará,Urbana,Municipal,26.6,31.5
189,2018,Pará,Rural,Municipal,37,--
190,2018,Pará,Total,Privada,5.7,9
191,2018,Pará,Urbana,Privada,5.5,8.3
192,2018,Pará,Rural,Privada,17.6,44.1
193,2018,Pará,Total,Pública,31.9,51.6
194,2018,Pará,Urbana,Pública,28.7,51.3
195,2018,Pará,Rural,Pública,37.2,55.3
196,2018,Amapá,Total,Total,26.9,36.6
197,2018,Amapá,Urbana,Total,24.3,33.7
198,2018,Amapá,Rural,Total,36.6,56.3
199,2018,Amapá,Total,Federal,--,14.9
200,2018,Amapá,Urbana,Federal,--,14.9
201,2018,Amapá,Total,Estadual,33.5,40.3
202,2018,Amapá,Urbana,Estadual,30.8,37.6
203,2018,Amapá,Rural,Estadual,41.2,56.3
204,2018,Amapá,Total,Municipal,23,--
205,2018,Amapá,Urbana,Municipal,22.2,--
206,2018,Amapá,Rural,Municipal,26.7,--
207,2018,Amapá,Total,Privada,3.3,6.7
208,2018,Amapá,Urbana,Privada,2.5,4
209,2018,Amapá,Rural,Privada,67.4,56
210,2018,Amapá,Total,Pública,29.2,39
211,2018,Amapá,Urbana,Pública,27.1,36.3
212,2018,Amapá,Rural,Pública,36.4,56.3
213,2018,Tocantins,Total,Total,16.9,28.9
214,2018,Tocantins,Urbana,Total,15.8,27.7
215,2018,Tocantins,Rural,Total,23.5,42.7
216,2018,Tocantins,Total,Federal,--,14.6
217,2018,Tocantins,Urbana,Federal,--,11.8
218,2018,Tocantins,Rural,Federal,--,22.5
219,2018,Tocantins,Total,Estadual,27.5,31
220,2018,Tocantins,Urbana,Estadual,26.7,29.8
221,2018,Tocantins,Rural,Estadual,33.9,48.1
222,2018,Tocantins,Total,Municipal,12.2,--
223,2018,Tocantins,Urbana,Municipal,10.6,--
224,2018,Tocantins,Rural,Municipal,20,--
225,2018,Tocantins,Total,Privada,3.4,8.7
226,2018,Tocantins,Urbana,Privada,3.3,7.8
227,2018,Tocantins,Rural,Privada,5.3,21.3
228,2018,Tocantins,Total,Pública,18.2,30.2
229,2018,Tocantins,Urbana,Pública,17.2,29
230,2018,Tocantins,Rural,Pública,23.9,43.7
231,2018,Maranhão,Total,Total,21.6,36.4
232,2018,Maranhão,Urbana,Total,19.1,34.5
233,2018,Maranhão,Rural,Total,25.5,47.3
234,2018,Maranhão,Total,Federal,14.2,17.4
235,2018,Maranhão,Urbana,Federal,16.4,17.5
236,2018,Maranhão,Rural,Federal,8.7,17.1
237,2018,Maranhão,Total,Estadual,38.1,38.1
238,2018,Maranhão,Urbana,Estadual,20.7,36.2
239,2018,Maranhão,Rural,Estadual,68.6,48.5
240,2018,Maranhão,Total,Municipal,22.9,75
241,2018,Maranhão,Urbana,Municipal,21.7,76.2
242,2018,Maranhão,Rural,Municipal,24.5,72.7
243,2018,Maranhão,Total,Privada,5.6,14.8
244,2018,Maranhão,Urbana,Privada,5.4,11.8
245,2018,Maranhão,Rural,Privada,9.4,45.1
246,2018,Maranhão,Total,Pública,23.4,37.6
247,2018,Maranhão,Urbana,Pública,21.7,35.8
248,2018,Maranhão,Rural,Pública,25.8,47.3
249,2018,Piauí,Total,Total,24.8,36.5
250,2018,Piauí,Urbana,Total,22.8,35.4
251,2018,Piauí,Rural,Total,30.4,54.5
252,2018,Piauí,Total,Federal,--,17.8
253,2018,Piauí,Urbana,Federal,--,16.8
254,2018,Piauí,Rural,Federal,--,29.6
255,2018,Piauí,Total,Estadual,34.9,40.6
256,2018,Piauí,Urbana,Estadual,34.8,39.6
257,2018,Piauí,Rural,Estadual,50.3,56.4
258,2018,Piauí,Total,Municipal,26.9,55.3
259,2018,Piauí,Urbana,Municipal,25,55.3
260,2018,Piauí,Rural,Municipal,30.4,--
261,2018,Piauí,Total,Privada,7.9,11.6
262,2018,Piauí,Urbana,Privada,7.9,11.5
263,2018,Piauí,Rural,Privada,17.9,32.7
264,2018,Piauí,Total,Pública,27.6,39.6
265,2018,Piauí,Urbana,Pública,26.3,38.5
266,2018,Piauí,Rural,Pública,30.4,54.6
267,2018,Ceará,Total,Total,13.2,26
268,2018,Ceará,Urbana,Total,13.4,26.1
269,2018,Ceará,Rural,Total,12.5,23.6
270,2018,Ceará,Total,Federal,17,21.4
271,2018,Ceará,Urbana,Federal,17,20.6
272,2018,Ceará,Rural,Federal,--,27
273,2018,Ceará,Total,Estadual,30.1,27.9
274,2018,Ceará,Urbana,Estadual,30.4,28.1
275,2018,Ceará,Rural,Estadual,28.3,23.3
276,2018,Ceará,Total,Municipal,14.7,--
277,2018,Ceará,Urbana,Municipal,15.5,--
278,2018,Ceará,Rural,Municipal,12.3,--
279,2018,Ceará,Total,Privada,6.2,7.5
280,2018,Ceará,Urbana,Privada,6.2,7.3
281,2018,Ceará,Rural,Privada,1.9,55.7
282,2018,Ceará,Total,Pública,15,27.8
283,2018,Ceará,Urbana,Pública,15.9,28.1
284,2018,Ceará,Rural,Pública,12.5,23.4
285,2018,Rio Grande do Norte,Total,Total,24.2,42.4
286,2018,Rio Grande do Norte,Urbana,Total,23.8,42.2
287,2018,Rio Grande do Norte,Rural,Total,26.1,48.3
288,2018,Rio Grande do Norte,Total,Federal,1.6,25.6
289,2018,Rio Grande do Norte,Urbana,Federal,1.6,24.9
290,2018,Rio Grande do Norte,Rural,Federal,--,31.6
291,2018,Rio Grande do Norte,Total,Estadual,34.5,50.1
292,2018,Rio Grande do Norte,Urbana,Estadual,34.6,49.9
293,2018,Rio Grande do Norte,Rural,Estadual,31.8,56.8
294,2018,Rio Grande do Norte,Total,Municipal,27.3,--
295,2018,Rio Grande do Norte,Urbana,Municipal,27.8,--
296,2018,Rio Grande do Norte,Rural,Municipal,26,--
297,2018,Rio Grande do Norte,Total,Privada,6,8.3
298,2018,Rio Grande do Norte,Urbana,Privada,6,8.3
299,2018,Rio Grande do Norte,Rural,Privada,5.5,27.3
300,2018,Rio Grande do Norte,Total,Pública,29.2,47.3
301,2018,Rio Grande do Norte,Urbana,Pública,29.9,47.3
302,2018,Rio Grande do Norte,Rural,Pública,26.4,48.4
303,2018,Paraíba,Total,Total,24.3,34.6
304,2018,Paraíba,Urbana,Total,24.1,34.3
305,2018,Paraíba,Rural,Total,25.4,43.2
306,2018,Paraíba,Total,Federal,2.1,14.4
307,2018,Paraíba,Urbana,Federal,2.1,12.3
308,2018,Paraíba,Rural,Federal,--,81
309,2018,Paraíba,Total,Estadual,36.3,40.4
310,2018,Paraíba,Urbana,Estadual,36.1,40.3
311,2018,Paraíba,Rural,Estadual,39,41.7
312,2018,Paraíba,Total,Municipal,26.9,66.6
313,2018,Paraíba,Urbana,Municipal,27.8,66.6
314,2018,Paraíba,Rural,Municipal,24.1,--
315,2018,Paraíba,Total,Privada,6.4,6.3
316,2018,Paraíba,Urbana,Privada,6.3,6.3
317,2018,Paraíba,Rural,Privada,14.5,--
318,2018,Paraíba,Total,Pública,29,39.2
319,2018,Paraíba,Urbana,Pública,30,39.1
320,2018,Paraíba,Rural,Pública,25.4,43.2
321,2018,Pernambuco,Total,Total,21.2,25.4
322,2018,Pernambuco,Urbana,Total,20.8,24.8
323,2018,Pernambuco,Rural,Total,22.9,33.2
324,2018,Pernambuco,Total,Federal,9,24.1
325,2018,Pernambuco,Urbana,Federal,9,25.1
326,2018,Pernambuco,Rural,Federal,--,21.2
327,2018,Pernambuco,Total,Estadual,28.6,27.6
328,2018,Pernambuco,Urbana,Estadual,28.1,27.2
329,2018,Pernambuco,Rural,Estadual,31.4,34.5
330,2018,Pernambuco,Total,Municipal,25,48.9
331,2018,Pernambuco,Urbana,Municipal,26,75
332,2018,Pernambuco,Rural,Municipal,22.3,45.5
333,2018,Pernambuco,Total,Privada,7.1,7.3
334,2018,Pernambuco,Urbana,Privada,7,7.2
335,2018,Pernambuco,Rural,Privada,13.2,8.8
336,2018,Pernambuco,Total,Pública,25.6,27.6
337,2018,Pernambuco,Urbana,Pública,26.4,27.1
338,2018,Pernambuco,Rural,Pública,23,33.5
339,2018,Alagoas,Total,Total,24.8,34.8
340,2018,Alagoas,Urbana,Total,25,34.7
341,2018,Alagoas,Rural,Total,24.2,35.7
342,2018,Alagoas,Total,Federal,--,27.4
343,2018,Alagoas,Urbana,Federal,--,27.4
344,2018,Alagoas,Total,Estadual,36.2,39.8
345,2018,Alagoas,Urbana,Estadual,36.7,40.1
346,2018,Alagoas,Rural,Estadual,26.8,35.8
347,2018,Alagoas,Total,Municipal,27.8,--
348,2018,Alagoas,Urbana,Municipal,29.4,--
349,2018,Alagoas,Rural,Municipal,24.2,--
350,2018,Alagoas,Total,Privada,6.3,8.8
351,2018,Alagoas,Urbana,Privada,6.2,8.8
352,2018,Alagoas,Rural,Privada,9,23.1
353,2018,Alagoas,Total,Pública,28.8,38.9
354,2018,Alagoas,Urbana,Pública,30.7,39.1
355,2018,Alagoas,Rural,Pública,24.3,35.8
356,2018,Sergipe,Total,Total,28.9,43
357,2018,Sergipe,Urbana,Total,27.9,42.4
358,2018,Sergipe,Rural,Total,32.3,53.6
359,2018,Sergipe,Total,Federal,14.2,38.3
360,2018,Sergipe,Urbana,Federal,14.2,34.6
361,2018,Sergipe,Rural,Federal,--,44.1
362,2018,Sergipe,Total,Estadual,39.4,50.5
363,2018,Sergipe,Urbana,Estadual,39.7,50.2
364,2018,Sergipe,Rural,Estadual,33.2,55.6
365,2018,Sergipe,Total,Municipal,34.1,--
366,2018,Sergipe,Urbana,Municipal,35.1,--
367,2018,Sergipe,Rural,Municipal,32.6,--
368,2018,Sergipe,Total,Privada,6.6,8.7
369,2018,Sergipe,Urbana,Privada,6.6,8.7
370,2018,Sergipe,Rural,Privada,7.1,--
371,2018,Sergipe,Total,Pública,35.6,50.2
372,2018,Sergipe,Urbana,Pública,36.8,50
373,2018,Sergipe,Rural,Pública,32.6,53.6
374,2018,Bahia,Total,Total,28.5,43.8
375,2018,Bahia,Urbana,Total,27.5,43.7
376,2018,Bahia,Rural,Total,31.4,46.7
377,2018,Bahia,Total,Federal,16.5,26.4
378,2018,Bahia,Urbana,Federal,16.5,28.1
379,2018,Bahia,Rural,Federal,--,14.3
380,2018,Bahia,Total,Estadual,47.8,47.8
381,2018,Bahia,Urbana,Estadual,47.9,47.7
382,2018,Bahia,Rural,Estadual,45.8,50.4
383,2018,Bahia,Total,Municipal,31.2,48.1
384,2018,Bahia,Urbana,Municipal,31.1,47.8
385,2018,Bahia,Rural,Municipal,31.4,48.3
386,2018,Bahia,Total,Privada,7.3,10.5
387,2018,Bahia,Urbana,Privada,7.2,9.2
388,2018,Bahia,Rural,Privada,13.6,31.8
389,2018,Bahia,Total,Pública,32.8,47.2
390,2018,Bahia,Urbana,Pública,33.4,47.2
391,2018,Bahia,Rural,Pública,31.6,48.2
392,2018,Minas Gerais,Total,Total,10.8,26.4
393,2018,Minas Gerais,Urbana,Total,10.8,26.5
394,2018,Minas Gerais,Rural,Total,10.5,25.7
395,2018,Minas Gerais,Total,Federal,12.1,16.8
396,2018,Minas Gerais,Urbana,Federal,12.1,17.8
397,2018,Minas Gerais,Rural,Federal,--,13.6
398,2018,Minas Gerais,Total,Estadual,14.2,28.8
399,2018,Minas Gerais,Urbana,Estadual,14.2,28.7
400,2018,Minas Gerais,Rural,Estadual,14,29.7
401,2018,Minas Gerais,Total,Municipal,9.6,14.5
402,2018,Minas Gerais,Urbana,Municipal,9.6,14.2
403,2018,Minas Gerais,Rural,Municipal,9.5,23.6
404,2018,Minas Gerais,Total,Privada,3.2,7.7
405,2018,Minas Gerais,Urbana,Privada,3.2,7.4
406,2018,Minas Gerais,Rural,Privada,15.9,24.8
407,2018,Minas Gerais,Total,Pública,11.8,28.3
408,2018,Minas Gerais,Urbana,Pública,11.9,28.4
409,2018,Minas Gerais,Rural,Pública,10.5,25.7
410,2018,Espírito Santo,Total,Total,19.5,26.1
411,2018,Espírito Santo,Urbana,Total,19.5,26.3
412,2018,Espírito Santo,Rural,Total,19.8,20.8
413,2018,Espírito Santo,Total,Federal,--,16.6
414,2018,Espírito Santo,Urbana,Federal,--,16.5
415,2018,Espírito Santo,Rural,Federal,--,17.2
416,2018,Espírito Santo,Total,Estadual,25.8,29.6
417,2018,Espírito Santo,Urbana,Estadual,26.3,29.8
418,2018,Espírito Santo,Rural,Estadual,19.5,21.8
419,2018,Espírito Santo,Total,Municipal,20.6,19.4
420,2018,Espírito Santo,Urbana,Municipal,20.8,--
421,2018,Espírito Santo,Rural,Municipal,19.6,19.4
422,2018,Espírito Santo,Total,Privada,3.2,7.7
423,2018,Espírito Santo,Urbana,Privada,2.8,6.2
424,2018,Espírito Santo,Rural,Privada,31.1,23.3
425,2018,Espírito Santo,Total,Pública,21.9,28.6
426,2018,Espírito Santo,Urbana,Pública,22.2,28.9
427,2018,Espírito Santo,Rural,Pública,19.6,19.9
428,2018,Rio de Janeiro,Total,Total,22.7,35.7
429,2018,Rio de Janeiro,Urbana,Total,22.3,35.7
430,2018,Rio de Janeiro,Rural,Total,30,37.9
431,2018,Rio de Janeiro,Total,Federal,17.2,27.4
432,2018,Rio de Janeiro,Urbana,Federal,17.2,27.6
433,2018,Rio de Janeiro,Rural,Federal,--,22.6
434,2018,Rio de Janeiro,Total,Estadual,44.7,42.4
435,2018,Rio de Janeiro,Urbana,Estadual,44.5,42.5
436,2018,Rio de Janeiro,Rural,Estadual,48.2,40.5
437,2018,Rio de Janeiro,Total,Municipal,27.1,35
438,2018,Rio de Janeiro,Urbana,Municipal,26.9,35
439,2018,Rio de Janeiro,Rural,Municipal,30,--
440,2018,Rio de Janeiro,Total,Privada,8.4,12.7
441,2018,Rio de Janeiro,Urbana,Privada,8.4,12.7
442,2018,Rio de Janeiro,Rural,Privada,8.3,9.6
443,2018,Rio de Janeiro,Total,Pública,29.1,41.8
444,2018,Rio de Janeiro,Urbana,Pública,28.9,41.9
445,2018,Rio de Janeiro,Rural,Pública,31.4,39.5
446,2018,São Paulo,Total,Total,7.3,13.2
447,2018,São Paulo,Urbana,Total,7.2,13.3
448,2018,São Paulo,Rural,Total,10,9.2
449,2018,São Paulo,Total,Federal,0.4,6.8
450,2018,São Paulo,Urbana,Federal,0.4,6.8
451,2018,São Paulo,Total,Estadual,9.6,15
452,2018,São Paulo,Urbana,Estadual,9.6,15.1
453,2018,São Paulo,Rural,Estadual,14.7,9.3
454,2018,São Paulo,Total,Municipal,7.5,12.2
455,2018,São Paulo,Urbana,Municipal,7.4,12.2
456,2018,São Paulo,Rural,Municipal,8.8,12.7
457,2018,São Paulo,Total,Privada,2.4,4.3
458,2018,São Paulo,Urbana,Privada,2.4,4.3
459,2018,São Paulo,Rural,Privada,3.5,6.3
460,2018,São Paulo,Total,Pública,8.5,14.9
461,2018,São Paulo,Urbana,Pública,8.4,15
462,2018,São Paulo,Rural,Pública,10.5,9.3
463,2018,Paraná,Total,Total,11.5,22.4
464,2018,Paraná,Urbana,Total,11.4,22.4
465,2018,Paraná,Rural,Total,13.1,21.3
466,2018,Paraná,Total,Federal,10.8,7.2
467,2018,Paraná,Urbana,Federal,10.8,7.4
468,2018,Paraná,Rural,Federal,--,2.5
469,2018,Paraná,Total,Estadual,20.2,25.6
470,2018,Paraná,Urbana,Estadual,20.2,25.8
471,2018,Paraná,Rural,Estadual,19.8,22
472,2018,Paraná,Total,Municipal,7.2,--
473,2018,Paraná,Urbana,Municipal,7.1,--
474,2018,Paraná,Rural,Municipal,8.4,--
475,2018,Paraná,Total,Privada,1.9,3.8
476,2018,Paraná,Urbana,Privada,1.9,3.7
477,2018,Paraná,Rural,Privada,5.1,7.3
478,2018,Paraná,Total,Pública,13.1,25.2
479,2018,Paraná,Urbana,Pública,13.1,25.4
480,2018,Paraná,Rural,Pública,13.2,21.6
481,2018,Santa Catarina,Total,Total,12.7,21.4
482,2018,Santa Catarina,Urbana,Total,12.8,21.4
483,2018,Santa Catarina,Rural,Total,12,19.6
484,2018,Santa Catarina,Total,Federal,9.6,12.9
485,2018,Santa Catarina,Urbana,Federal,9.6,13.2
486,2018,Santa Catarina,Rural,Federal,--,9.6
487,2018,Santa Catarina,Total,Estadual,18.1,24.3
488,2018,Santa Catarina,Urbana,Estadual,18.2,24.4
489,2018,Santa Catarina,Rural,Estadual,16.9,21.7
490,2018,Santa Catarina,Total,Municipal,11.7,14.3
491,2018,Santa Catarina,Urbana,Municipal,11.9,10.9
492,2018,Santa Catarina,Rural,Municipal,10,28.7
493,2018,Santa Catarina,Total,Privada,2.8,4.4
494,2018,Santa Catarina,Urbana,Privada,2.8,4.4
495,2018,Santa Catarina,Rural,Privada,6.3,7.9
496,2018,Santa Catarina,Total,Pública,14.2,23.7
497,2018,Santa Catarina,Urbana,Pública,14.4,23.8
498,2018,Santa Catarina,Rural,Pública,12.1,20.2
499,2018,Rio Grande do Sul,Total,Total,19.9,34.7
500,2018,Rio Grande do Sul,Urbana,Total,19.8,34.8
501,2018,Rio Grande do Sul,Rural,Total,21.5,31.8
502,2018,Rio Grande do Sul,Total,Federal,16.1,23.1
503,2018,Rio Grande do Sul,Urbana,Federal,16.1,24.8
504,2018,Rio Grande do Sul,Rural,Federal,--,17.4
505,2018,Rio Grande do Sul,Total,Estadual,24.4,38.1
506,2018,Rio Grande do Sul,Urbana,Estadual,24.3,38.2
507,2018,Rio Grande do Sul,Rural,Estadual,25.7,36.7
508,2018,Rio Grande do Sul,Total,Municipal,20.8,48.9
509,2018,Rio Grande do Sul,Urbana,Municipal,21,49.8
510,2018,Rio Grande do Sul,Rural,Municipal,19.8,40.4
511,2018,Rio Grande do Sul,Total,Privada,3.8,7.9
512,2018,Rio Grande do Sul,Urbana,Privada,3.8,7.7
513,2018,Rio Grande do Sul,Rural,Privada,8.9,19.2
514,2018,Rio Grande do Sul,Total,Pública,22.3,37.6
515,2018,Rio Grande do Sul,Urbana,Pública,22.4,37.8
516,2018,Rio Grande do Sul,Rural,Pública,21.6,32.4
517,2018,Mato Grosso do Sul,Total,Total,21.8,32.5
518,2018,Mato Grosso do Sul,Urbana,Total,20.5,31.8
519,2018,Mato Grosso do Sul,Rural,Total,32.8,44.1
520,2018,Mato Grosso do Sul,Total,Federal,7.5,14.8
521,2018,Mato Grosso do Sul,Urbana,Federal,7.5,14.8
522,2018,Mato Grosso do Sul,Total,Estadual,29,35.6
523,2018,Mato Grosso do Sul,Urbana,Estadual,29,34.9
524,2018,Mato Grosso do Sul,Rural,Estadual,30.1,46.2
525,2018,Mato Grosso do Sul,Total,Municipal,21.4,18.7
526,2018,Mato Grosso do Sul,Urbana,Municipal,19,--
527,2018,Mato Grosso do Sul,Rural,Municipal,33.8,18.7
528,2018,Mato Grosso do Sul,Total,Privada,2.4,5.1
529,2018,Mato Grosso do Sul,Urbana,Privada,2.4,4.2
530,2018,Mato Grosso do Sul,Rural,Privada,5.4,24
531,2018,Mato Grosso do Sul,Total,Pública,24.2,35.5
532,2018,Mato Grosso do Sul,Urbana,Pública,23,34.8
533,2018,Mato Grosso do Sul,Rural,Pública,33.2,45.5
534,2018,Mato Grosso,Total,Total,7.3,24.5
535,2018,Mato Grosso,Urbana,Total,6.7,23.7
536,2018,Mato Grosso,Rural,Total,11.5,31.7
537,2018,Mato Grosso,Total,Federal,--,10.5
538,2018,Mato Grosso,Urbana,Federal,--,9.5
539,2018,Mato Grosso,Rural,Federal,--,13.7
540,2018,Mato Grosso,Total,Estadual,8.2,27.1
541,2018,Mato Grosso,Urbana,Estadual,7.8,26.3
542,2018,Mato Grosso,Rural,Estadual,11.5,34.1
543,2018,Mato Grosso,Total,Municipal,7.7,--
544,2018,Mato Grosso,Urbana,Municipal,6.7,--
545,2018,Mato Grosso,Rural,Municipal,11.5,--
546,2018,Mato Grosso,Total,Privada,3,4.4
547,2018,Mato Grosso,Urbana,Privada,3,4.4
548,2018,Mato Grosso,Rural,Privada,0.9,9.7
549,2018,Mato Grosso,Total,Pública,7.9,26.2
550,2018,Mato Grosso,Urbana,Pública,7.2,25.5
551,2018,Mato Grosso,Rural,Pública,11.5,31.7
552,2018,Goiás,Total,Total,13.1,22.2
553,2018,Goiás,Urbana,Total,12.8,22.2
554,2018,Goiás,Rural,Total,19,22.9
555,2018,Goiás,Total,Federal,18.9,12.8
556,2018,Goiás,Urbana,Federal,18.9,13.3
557,2018,Goiás,Rural,Federal,--,11.6
558,2018,Goiás,Total,Estadual,20.7,25.1
559,2018,Goiás,Urbana,Estadual,20.6,24.9
560,2018,Goiás,Rural,Estadual,23.9,33.6
561,2018,Goiás,Total,Municipal,12.2,20.9
562,2018,Goiás,Urbana,Municipal,11.8,18.7
563,2018,Goiás,Rural,Municipal,18.3,31.3
564,2018,Goiás,Total,Privada,4.2,7.2
565,2018,Goiás,Urbana,Privada,4.1,7.1
566,2018,Goiás,Rural,Privada,8.3,12
567,2018,Goiás,Total,Pública,15.2,24.6
568,2018,Goiás,Urbana,Pública,15,24.6
569,2018,Goiás,Rural,Pública,19.3,24.5
570,2018,Distrito Federal,Total,Total,15.9,24.6
571,2018,Distrito Federal,Urbana,Total,15.6,24.4
572,2018,Distrito Federal,Rural,Total,23.3,32.7
573,2018,Distrito Federal,Total,Federal,7.3,18.2
574,2018,Distrito Federal,Urbana,Federal,7.3,16.9
575,2018,Distrito Federal,Rural,Federal,--,24.7
576,2018,Distrito Federal,Total,Estadual,20.5,30.5
577,2018,Distrito Federal,Urbana,Estadual,20.4,30.4
578,2018,Distrito Federal,Rural,Estadual,22.8,34.2
579,2018,Distrito Federal,Total,Privada,3.1,7.4
580,2018,Distrito Federal,Urbana,Privada,2.9,7.1
581,2018,Distrito Federal,Rural,Privada,36,36
582,2018,Distrito Federal,Total,Pública,20.5,30.1
